,Org name,Org type,Forbes rank,CSR rank,Sector,Text,tweet_type,CODED_hashtags,CODED_media,CODED_urls,favorite_count,retweet_count,Date,Fake_Label,Presence/Absence,Josh,Dylan
35139,AGCO,profit,335,53,Industrials,".@Machineryeditor interviewed #AGCOcorp’s Darren Goebel, @Agronomist_IN, on how @Precisionplant's DeltaForce® automatic down pressure feature could improve the accuracy of seed placement. Learn more about this #smartfarming asset in https://t.co/PxmjFylQRI #FuseTech https://t.co/dNVlSmjEBJ",original,1,1,1,28,8,4/26/19,1,0,0,0
35960,Air Products & Chemical,profit,344,54,Chemicals,"Yesterday, we welcomed state officials from the Dept. of Community &amp; Economic Development (DCED) to visit the site of our new global headquarters &amp; our #hydrogen fueling station. We're excited for the future and thank @DCEDSecretary, Neil Weaver &amp; Michael Gerber for their visit. https://t.co/deGxehoF3u",original,1,1,0,6,2,10/11/19,1,0,1,0
24097,Land O'Lakes,profit,212,46,"Food, Beverages & Tobacco","How farmer-retailers at Martig Farms Inc. are boosting profits in an increasingly high-tech, data-driven landscape: https://t.co/sQ1xSgpxzn",original,0,0,1,4,1,5/15/19,1,0,1,0
11125,Raytheon,profit,114,60,Aerospace & Defense,A mature seeker design allows the AMRAAM air-to-air missile to quickly find targets in the most challenging combat environments. Learn more about this proven #airdominance missile: https://t.co/hBEfdPw5KI https://t.co/PgBI7WMOrn,original,1,1,1,36,14,2/8/19,1,0,0,1
26601,MGM Resorts International,profit,266,51,"Hotels, Restaurants & Leisure",#LaborDayWeekend is about to be 🔥! Don't miss your last chance to party with us @jemaalv this season. https://t.co/B5J0UKnvw5 https://t.co/5g1jqCv9Hf,original,1,1,1,6,1,8/31/19,1,0,0,0
7686,Tech Data,profit,88,49,Wholesalers,We never stop connecting the world with the power of technology! Register now for our #ChannelConnectionsCostaRica 2019. Click on the following link &amp; follow the steps:  https://t.co/oTcP7XI954 https://t.co/ZVsIjAcuuS,original,1,1,1,2,0,10/1/19,1,0,1,0
2659,Dell Technologies,profit,34,60,Technology,"“Consumers demand a reason to get behind a brand. When you can make that connection for your business, the power is untouchable.” - Megan Runser on experiential marketing at last week’s #DF19 #DellSmallBiz #AmexBusiness https://t.co/moCeiwqEot",original,1,1,0,25,8,11/25/19,1,0,0,0
40449,Motorola Solutions,profit,416,58,Technology,"During the Young Professionals Group’s quarterly earnings call event today, #MotorolaSolutions Chairman and CEO Greg Brown discussed our first-quarter 2019 performance with employees: https://t.co/5XAxvZ8rrS #MotoSolutionsLife https://t.co/goYr4eVvgF",original,1,1,1,4,0,5/3/19,1,0,0,0
3025,FedEx,profit,47,55,Transportation,"‘Tis the season of friendly faces waving at you around every bend, even the snow-covered ones. ❄️ Wishing you a safe and joyful holiday season! https://t.co/8tudEUch7Q",original,0,1,0,113,19,12/24/19,1,0,0,1
21076,Home Depot,profit,27,57,Retailing,Get fast and free delivery on today’s Special Buy on select Arm &amp; Hammer air filters! https://t.co/ESWBg76yqh https://t.co/iLD6v3paUi,original,0,1,1,13,5,3/28/19,1,0,0,0
14891,ManpowerGroup,profit,141,57,Business Services,We are honored to be recognized by the @WisLGBTChamber for our commitment to building a more diverse and inclusive business community!  https://t.co/a4Yp2mNeyd https://t.co/RGHSfWRDIW,original,0,1,1,7,3,9/26/19,1,0,1,0
43177,Blackstone Group,profit,442,44,Financials,"Last week, OUT Blackstone, $BX's LGBT+ affinity network, celebrated National Coming Out Day with @sculptorcm, @twosigma, @PIMCO, @KKR_Co, and @apolloglobal #NationalComingOutDay https://t.co/dYYyfdQJx4",original,1,1,0,9,3,10/18/19,1,0,1,0
4719,Lockheed Martin,profit,60,59,Aerospace & Defense,@windtalker609 Want to see inside our concept of how people will live at the Moon? Join our Facebook LIVE today (April 9) at 5 PM ET. https://t.co/4OQOyDWhzE,original,0,0,1,0,0,4/9/19,1,0,1,0
34530,Interpublic Group,profit,322,53,Business Services,.@GOLINglobal Hong Kong wins the regional social media brief for insurance giant AIA. https://t.co/DgP1RSYlV0,original,0,0,1,3,1,6/12/19,1,0,0,0
44371,Intercontinental Exchange,profit,469,54,Financials,(1/2)   @EIAgov latest Short-Term  Energy Outlook calling for 1.1 million b/d oil demand growth in ’19 and 1.4m in ’20. “More than half of the 2019 non-OECD consumption growth is in China”,original,0,0,0,0,0,7/15/19,1,0,0,1
25334,Estee Lauder,profit,231,58,Household Products,"This #MothersDay, make it personal! 💕Give mom a gift that’s uniquely hers with custom engraving on a selection of our #PureColorEnvy Lipsticks, perfume bottles and more. Shop engraved gifts in time for Mother’s Day: https://t.co/83mtMFCbPk #LoveBreaksAllRules #LipsToEnvy https://t.co/N55lDWhmwC",original,1,1,1,40,3,4/16/19,1,0,0,1
14780,Lear,profit,147,51,Motor Vehicles & Parts,"For the second consecutive year, Lear Poland has been named a Top Employer by @topemployer Institute for our exceptional HR efforts. #topemployers2019 https://t.co/7KuBfyIiFe",original,1,1,0,10,3,2/1/19,1,0,0,0
27154,Corning,profit,279,53,Industrials,Corning reports second-quarter 2019 financial results with year-over-year growth across all businesses: https://t.co/Lu1yW9f90a,original,0,0,1,5,0,7/30/19,1,0,1,0
34132,Public Service Enterprise Group,profit,323,59,Energy,"The Residential Efficient Products prgm in our #NJCleanEnergyFuture filing would allow cust 2 buy+install ENERGY STAR+other high efficiency elec+gas appliances+equip thru various measures such as online sales, in-store rebates+reduced point of sale costs. https://t.co/ECcHNpDp9D https://t.co/pNfrvDOuji",original,1,1,1,1,0,7/20/19,1,0,1,1
42459,Arthur J. Gallagher,profit,435,48,Financials,Gallagher’s Jackie Collins shares the importance of keeping your insurance broker in mind when considering eco-friendly updates. https://t.co/rtIoT7bOaA https://t.co/caqE3pWTeS,original,0,1,1,1,0,5/14/19,1,0,0,0
16843,Kimberly-Clark,profit,171,58,Household Products,"Today is International Day of Women and Girls in Science, and this year, we share the power of mentoring with a story from Kimberly-Clark scientist, Adrienne Lloyd (and multiple patent holder). The support of mentors can make all the difference! #womeninscience https://t.co/jDT6AIB3Z7",original,1,1,0,14,1,2/11/19,1,0,1,0
24655,United States Steel,profit,222,43,Materials,We are encouraged by the #BuyAmerican executive action and the positive impact it will have. U. S. Steel is proud to produce steel from start to finish in our facilities across America. We appreciate the Administration’s continued commitment to economic and national security. https://t.co/SEQYVrKwO8,original,1,1,0,17,13,2/1/19,1,0,1,1
38555,Weyerhaeuser,profit,406,57,Materials,We believe forests are the most sustainable and versatile resource on Earth. Learn how we manage this remarkable renewable resource at https://t.co/uOQ4UPD0OW #forestproud #ittakesaforest https://t.co/jNlSuRXFts,original,1,1,1,32,10,12/10/19,1,1,1,0
39163,United Parcel Service,profit,41,60,Transportation,"@AustinJahner Austin, are you interested in getting your #smallbusiness to go global? Our new Worldwide Economy service has the flexibility, visibility and affordability to turn your business into a micro-multinational. Have any questions? https://t.co/edsSMR7Qo0 https://t.co/jmqaTeg1OT",original,1,1,1,1,0,8/6/19,1,0,0,0
27868,L3 Technologies,profit,290,51,Aerospace & Defense,"#HarrisCorp has delivered over 1 million infrastructure components to the #F35 - that includes more than 1,600 components to each #aircraft.   Learn more here: https://t.co/jx6qQKlUhE",original,1,0,1,14,4,5/30/19,1,0,0,0
40352,Motorola Solutions,profit,416,58,Technology,"For greater control of #mining operations in the field or underground, #MotorolaSolutions' latest communications technology provides instant access to critical information. Unearth how to boost performance and more efficiently use valuable resources: https://t.co/2zWOzRjFOz https://t.co/nO4rrVarS1",original,1,1,1,2,4,8/26/19,1,0,1,1
49168,Cisco Systems,profit,64,65,Technology,#IntentBasedNetworking is seamless in providing security and services for your network across multiple domains. Learn more: https://t.co/OzV3ZlfQJD https://t.co/zs0y7H3H8N,original,1,1,1,44,14,9/15/19,1,0,0,0
24375,Stanley Black & Decker,profit,228,55,Household Products,Tune in live to the @EnvisionVirgin New York City Innovation Summit this Friday to hear leaders talk about the role of businesses in accelerating the response to the climate crisis: https://t.co/33n4VDQUld #acceleratingchange #NYCEPrix #ABBFormulaE https://t.co/cushs9DxVT,original,1,1,1,5,2,7/10/19,1,0,1,0
8618,Exelon,profit,93,61,Energy,"Congrats to Erica Tsypin, an entrepreneur named in the energy category of the @Forbes Under 30 List for 2020. Erika is a cofounder of Steer, an Exelon venture that is accelerating the adoption of electric vehicles through month-to-month subscriptions. https://t.co/CSKQbrALTG",original,0,0,1,17,4,12/5/19,1,0,1,0
48604,Lockheed Martin,profit,60,59,Aerospace & Defense,"#ICYMI: F-16s from @theSCANG flew with the @FuerzaAereaCol during exercise Relámpago IV in Rionegro, Colombia, demonstrating trust &amp; interoperability between the two air forces.  📸: Staff Sgt. Megan Floyd https://t.co/qoUJrc50Ey",original,1,1,0,118,16,8/2/19,1,0,0,1
48549,Lockheed Martin,profit,60,59,Aerospace & Defense,#DYK that #FossilFriday is a thing!? Our recent partnership with the @PerotMuseum has taught us many new things about fossils and our ancient relatives. Read up on how scientists are using data from our CT-scanner to answer burning questions.,original,1,0,0,67,9,10/25/19,1,0,1,0
23089,Parker-Hannifin,profit,218,53,Industrials,Parker know-how is helping aircraft fly safer and more efficiently: https://t.co/UdwI6F6o6u Visit the web page. #ThisIsParker #Aerospace https://t.co/8gF9DIzuHQ,original,1,1,1,2,1,9/10/19,1,0,1,0
6822,Pfizer,profit,61,57,Healthcare,"Meet Kelly Knee, Sickle Cell Researcher at Pfizer. Kelly says the most important part of her job is working towards making patients’ lives better. “What I would say to patients is: Keep talking to us. We are really interested in what you have to say.” https://t.co/XBiEwUjKPx",original,0,0,1,13,3,4/2/19,1,0,1,0
44006,Rockwell Automation,profit,452,57,Industrials,#MachineLearning is expanding possibility in #cement production. Learn how improved maintenance &amp; decreased energy consumption helps producers gain a competitive edge.  https://t.co/rseSTUmGNk https://t.co/vuauzBvfC7,original,1,1,1,6,4,6/17/19,1,0,1,0
47246,ON Semiconductor,profit,485,53,Technology,"Discover our whitepaper covering DC Motor Driver Fundamentals with a focus on  two basic types of DC motors: brushed and brushless, with subsets of each. https://t.co/BHsTfNxSFm https://t.co/XfGExEnch1",original,0,1,1,5,1,1/29/19,1,0,0,0
16779,Kimberly-Clark,profit,171,58,Household Products,"Over half of all diaper bank programs in the U.S. rely entirely on volunteers. Participants at the @VizientInc Connections Education Summit in #LasVegas joined in a volunteer event to repack a donation of 10,000 @Huggies diapers for HELP of Southern Nevada Diaper Bank. https://t.co/bzvwS9KFxC",original,1,1,0,12,2,9/25/19,1,0,1,0
23238,Parker-Hannifin,profit,218,53,Industrials,"Want to optimize efficiency &amp; reduce operating costs? Follow @ParkerFilters for the latest filtration, condition monitoring and gas separation product innovations and practical engineering advice! https://t.co/hzWX7FBy5x",original,0,1,0,1,1,6/19/19,1,0,0,1
19661,Jacobs Engineering Group,profit,208,54,Engineering & Construction,"Hey space fans, don’t forget to stop by Cocoa Beach at the Astronaut Parade &amp; Street Fest! Comment ⤵️ a photo of you at our tent! #Apollo50th https://t.co/3L7XA76MkZ",original,1,1,0,11,4,7/13/19,1,0,0,1
9558,Micron Technology,profit,105,52,Technology,"""I’m excited by the opportunity and the ability that Micron has to act, to improve and to have an outsized impact."" Our director of sustainability Marshall Chase introducing Micron's 2019 Sustainability Report: https://t.co/jRT4ZakAbW",original,0,0,1,4,1,4/28/19,1,0,1,1
44392,Intercontinental Exchange,profit,469,54,Financials,Momentum is building in our Italian Power market with participants contributing to new daily and monthly volume records in June. https://t.co/o9g4pw0mkp,original,0,1,0,6,4,6/13/19,1,0,0,0
39347,United Parcel Service,profit,41,60,Transportation,"@BethSEGreen We just announced our purchase of the largest-ever order of renewable natural gas in the U.S. Through this deal, UPS will become the largest single fleet using #RNG. Learn more: https://t.co/PwesLunbfh https://t.co/XV94ANUjNz",original,1,1,1,1,1,5/22/19,1,0,1,0
8792,Exelon,profit,93,61,Energy,2018 was another record-breaking year for Exelon with our utility and generation employees delivering all-time best performances in multiple categories. #ExelonEarnings https://t.co/bvvWuPdr5L,original,1,1,0,24,4,2/8/19,1,0,1,0
8188,CHS,profit,97,41,"Food, Beverages & Tobacco","What are the latest factors influencing global soybean trade flow, supply and price trends? Having an insightful dialogue to help growers optimize for the future. #CHSWithPurpose",original,1,0,0,0,0,12/5/19,1,0,1,0
31100,IQVIA Holdings,profit,305,50,Health Care,"We believe that advances in machine learning (#ML), artificial intelligence (#AI), and #bigdata analytics will help push progress in Alzheimer’s disease research: https://t.co/Zz0KkTObz7 #WorldAlzDay #ENDALZ #LetsTalkAboutDementia https://t.co/0k1AxJ3vUK",original,1,1,1,14,8,9/17/19,1,0,1,1
380,Exxon Mobil,profit,2,47,Energy,Our VP of R&amp;D Vijay Swarup spoke with @AmyAHarder @axios #AspenIdeas this morning about the role carbon capture and storage plays in helping to lower emissions. https://t.co/Y4vLpJ6tgV,original,1,1,0,56,16,6/28/19,1,0,1,0
49685,Goldman Sachs Group,profit,62,55,Financials,"""The way I look at it, if you want to take the biggest view, is are we in the run-up to World War I or are we in the run-up to the nuclear arms race with the Soviets?"" @ClimateOpp on the climate change threat: https://t.co/dDGqpJJ4JZ #TalksAtGS https://t.co/4EQGoX4V3S",original,1,1,1,18,6,5/18/19,1,0,0,0
2903,Citigroup,profit,30,61,Financials,"We’re proud to again earn a place in @MilitaryTimes' Best for Vets Employers ranking, highlighting #Citi’s commitment to fostering a supportive environment for veterans and helping ensure they have the opportunity to succeed. https://t.co/aVK7md7GlY",original,1,0,1,11,2,5/7/19,1,0,1,1
13325,Southern,profit,131,56,Energy,"In July, a heat wave and storms led to wide spread power outages in NY and NJ. Through it all, 202 Home Depot stores in NY remained open thanks to the always-on power provided by @Bloom_Energy Servers and sophisticated microgrids from @PowerSecureInc. https://t.co/Ogv381EmE7 https://t.co/PuAgGaTNSc",original,0,1,1,21,7,8/6/19,1,0,0,0
28278,Entergy,profit,288,57,Energy,"Having a family emergency plan and a kit of the basic supplies you’ll need in an emergency is the best way to be prepared for severe weather. Entergy has plans in place for how we'll react to severe weather. We urge our customers to have a plan, too. https://t.co/aGsd6lh4G2 https://t.co/LlU8OTieS3",original,0,1,1,3,1,6/7/19,1,0,0,0
27206,Corning,profit,279,53,Industrials,"“For the second quarter, we expect sales to grow high-single digits year over year, driven by strong data center, fiber, and cable growth.”   – Tony Tripeny, Executive Vice President and CFO",original,0,0,0,3,0,4/30/19,1,0,0,0
34846,Adobe,profit,339,59,Technology,Photographer @philngyn's artful approach to capturing all corners of our planet is refreshing &amp; inspiring. View the world from his lens: https://t.co/bUHgKzqJAG https://t.co/aSOUtMyi6c,original,0,1,1,282,41,6/29/19,1,0,1,0
945,Verizon Communications,profit,19,59,Telecommunications,#HurricaneDorian2019 is on the way and our teams are ready. Now is the time to make sure you know your weather plan so that you and your family are prepared. https://t.co/bgJmgbzZfb https://t.co/OUUQItU4I2,original,1,1,1,27,10,8/30/19,1,0,0,0
35703,Williams,profit,348,50,Energy,"In case you missed it, @GatherTulsa was recently recognized as one of @TIME’s “World’s Greatest Places”! We are so excited to see Tulsa gain national recognition and proud to be one of the park’s leading funders. https://t.co/dtfK3xNz4F https://t.co/gtFDQHm7fI",original,0,1,1,3,1,8/26/19,1,0,0,0
49202,Cisco Systems,profit,64,65,Technology,This week we learned about disaster recovery plans and we saw why location doesn't matter with the Catalyst 9000! Learn about this and more in this week in review. https://t.co/8oPSSBdFMm https://t.co/KjPF2Zwdbe,original,0,1,1,24,5,8/9/19,1,0,0,0
12625,Duke Energy,profit,126,54,Energy,Concerned about possible environmental violations @DukeEnergy facilities? Report anonymously 24/7 at 855.355.7042 or https://t.co/20AP9w50EQ,original,0,0,1,6,1,12/18/19,1,0,0,0
21751,DTE Energy,profit,220,54,Energy,"STORM UPDATE: Thursday, November 28    As of 6:00 a.m. on Thursday, November 28, DTE Energy has restored power to more than 77% of the 106,000 customers who continued to be impacted through midnight Wednesday by the turbulent weather that hit SE Michigan yesterday.",original,0,0,0,6,1,11/28/19,1,0,0,0
48857,Sysco,profit,54,56,Wholesalers,Hear Tom Bené at #MIGlobal discussing the steps that Sysco is taking to become more environmentally conscious in various aspects of the business. https://t.co/JnSJsdmZtf #DeliveringABetterTomorrow https://t.co/90yBK0QGK9,original,1,1,1,16,0,6/3/19,1,0,1,1
24284,Las Vegas Sands,profit,230,56,"Hotels, Restaurants & Leisure","“The high rate of youth homelessness and the dire need for housing in Southern Nevada was distressing to us,” said Jon Bon Jovi, chairman of @JBJSoulFound. Learn more about our partnership with @NVHomelessYouth and our mission to end youth homelessness: https://t.co/PbVZYbTvpC",original,0,0,1,11,5,2/21/19,1,1,0,0
41908,Alleghany,profit,437,46,Financials,Pittsburgh: Vehicle over a hillside - Shelly Street is closed at Carnahan Road. No injuries reported at this time.,original,0,0,0,1,1,7/25/19,1,0,0,0
28634,Lam Research,profit,287,54,Technology,"We’re committed to #sustainability and making a positive impact in the communities in which we operate. From butterfly conservation to clean up efforts, learn more about our focus on preservation via the #LamResearch blog! #LamLife https://t.co/dqxmOzGlqL https://t.co/2riErv8hbT",original,1,1,1,4,0,8/19/19,1,1,1,1
27708,Ball,profit,271,56,Materials,"Excited to participate in this year's @PlasticFreeExpo, June 27-28, in Frankfurt! Marcel Arsand, sustainability manager UK &amp; Nordics, will keynote a Day 1 session on the #circularity of #aluminum beverage cans. Also stop by to see us at Stand 24. #InfinitelyRecyclable",original,1,0,0,7,3,6/25/19,1,0,0,0
52762,General Dynamics,profit,92,51,Aerospace & Defense,"Our #BluefinRobotics team is excited to share our family of unmanned underwater vehicles, including our newly released Bluefin-12, this week at @Pacific2019Expo! Learn more: https://t.co/NIRU0gb0uY https://t.co/L6YQW7Pz8z",original,1,1,1,16,4,10/8/19,1,0,0,1
4909,Sysco,profit,54,56,Wholesalers,".@KarynSchoenbart shared her book, Mom.B.A., with us, which includes pragmatic tips on how to be successful as a global business leader. Thank you for visiting and sharing valuable #leadership and #careeradvice with our Houston associates! https://t.co/cd8CWygnDw",original,1,1,0,14,4,6/6/19,1,0,0,1
22320,DTE Energy,profit,220,54,Energy,"With outages spanning DTE service territory of more than 7,000 square miles, nearly 2,000 employees are in the field today working to restore power. https://t.co/UEShJDtDcr https://t.co/niE2glzaXU",original,0,1,1,14,4,7/22/19,1,0,0,0
36073,Voya Financial,profit,343,56,Financials,We’re honored to be recognized by @DisabilityIN and @AAPD as a Disability Equality Index Best Place to Work for a second year in a row and will continue to advance our commitment to supporting individuals with special needs and their caregivers. #DEI #InForInclusion #VoyaCares https://t.co/mvjM4fY4MM,original,1,1,0,7,2,7/17/19,1,0,1,0
35097,AGCO,profit,335,53,Industrials,We're proud to partner with the forward-thinking innovators at the College of ACES at the University of Illinois. See what lies ahead for these sharp agriculture students!  https://t.co/iVrmdRMl9C,original,0,0,1,10,3,9/20/19,1,0,0,0
22329,DTE Energy,profit,220,54,Energy,Know what to do when mother nature strikes? #StormSafetyTip 1: Understand the types of weather events you may experience in your area. Learn more weather safety tips: https://t.co/g9K0EXPy0D,original,1,0,1,2,1,7/21/19,1,0,0,0
42382,Arthur J. Gallagher,profit,435,48,Financials,"IBIS Academy, Gallagher's global benefits, HR, &amp; mobility conference, comes to Geneva, Switzerland on May 11-15, 2020.  Gain exclusive insights from global industry experts and thought leaders. Learn more at https://t.co/gF9gJs6n71 or register today https://t.co/4d05Kn48ws https://t.co/DlztLC58Ag",original,0,1,1,0,0,12/11/19,1,0,0,0
40182,American Axle & Manufacturing,profit,418,49,Motor Vehicles & Parts,#TeamAAM was recognized as a top-performing global supplier at the 21st annual @Ford World Excellence Awards. AAM was presented with the Sustainability Award. Get the full story here: https://t.co/pIjD2WHdP9 https://t.co/0jw28jjvAy,original,1,1,1,12,1,5/30/19,1,0,0,1
19729,Jacobs Engineering Group,profit,208,54,Engineering & Construction,Prevention is less costly than mitigation  https://t.co/CHUL1MRN8q How online water quality monitoring system can help in the fight against water-borne pathogens #WhatIf https://t.co/Jx3mVYKfCZ,original,1,1,1,2,2,6/12/19,1,0,0,0
3253,United Parcel Service,profit,41,60,Transportation,@kavehwaddell Our #UPSdrones are making #aviation history! We just announced that UPS Flight Forward is the @FAANews's first fully approved drone airline. Find out what this means for our customers below We'd love if you could share this exciting news: https://t.co/YOJd25lU1j https://t.co/o50bEPB0L0,original,1,1,1,0,0,10/2/19,1,0,1,0
10503,Chevron,profit,11,48,Energy,"""with our leading technology, experienced workforce and broad portfolio, we're delivering value in the gulf of mexico.""  – steve green, president of chevron north america exploration &amp; production   find out how: https://t.co/0EKx1ZnTyz  via @houstonchron https://t.co/rtidnr1Cmq",original,0,1,1,72,32,10/7/19,1,0,0,0
50645,Pfizer,profit,61,57,Healthcare,"#ProstateCancerAwarenessMonth may be wrapping up, but you can find additional resources on advanced #prostatecancer to help support patient-physician conversations year-round here:",original,1,0,0,19,7,9/30/19,1,0,0,0
10354,JP Morgan Chase,profit,18,59,Financials,"“Say to yourself: There's nothing I can't do, here's how I'm going to get there.” @condoleezzarice shares advice on overcoming obstacles and achieving your goals. #powerHER https://t.co/h9toN9pHoR",original,1,1,0,594,147,10/7/19,1,0,1,1
27563,Unum Group,profit,273,54,Financials,"New research spotlights prevalence, stigma, and best practices for protecting mental health in the workplace https://t.co/0wHRrDY6tA #MentalHealth",original,1,0,1,1,11,4/10/19,1,0,1,0
5084,Energy Transfer,profit,59,36,Energy,"""Pipelines replace more carbon-intensive transport methods, meaning that they are the greenest way to move enormous volumes of energy supplies like natural gas, propane, and gasoline.""  #pipelines #oilandgas #energy #fuel #emissions #clearnAir #gasoline  https://t.co/SHwaziF9E0",original,1,0,1,5,2,1/19/19,1,0,1,1
3272,United Parcel Service,profit,41,60,Transportation,"@MattSchroyer Matt, will drones change the future of delivery? Learn how UPS Flight Forward is aiming to do just that, after becoming the @FAANews's first fully approved drone airline. Our #UPSdrones are making history: https://t.co/YOJd25lU1j https://t.co/jNMurHcVlA",original,1,1,1,0,0,10/1/19,1,0,0,0
28274,Entergy,profit,288,57,Energy,"After a storm, have you wondered why the sun is shining but your power is still out? Entergy employee Desi Hunter explains why. For more info about how we restore: https://t.co/oJP1nLH0tc https://t.co/wCXQSirtbZ",original,0,1,1,4,0,6/19/19,1,0,0,0
13905,Jabil,profit,140,54,Technology,"Compared to legacy processes, we have found that many 3D-printed jigs, fixtures and tooling components can save hundreds or even thousands of dollars. A recent survey within one of our plants showed savings of $1,500 to $2,500 on average.  https://t.co/SbrN4Zovww  #3Dprinting",original,1,0,1,3,0,10/1/19,1,0,0,1
39706,Freddie Mac,profit,40,50,Financials,Urban or suburban? Condo or townhome? Here are some tips on how to find the right home if you're stuck at a crossroads this spring homebuying season.  https://t.co/gQoPvKYgVR,original,0,0,1,6,4,5/10/19,1,0,0,0
17709,PG&E,profit,183,58,Energy,"#PSPS map of impacted area of #MarinCounty (click to expand): PG&amp;E expects to begin turning off pwr in some areas early Wed, just after midnight. The pwr will be turned off to communities in stages, depending on local timing of the severe wind conditions https://t.co/vtR0giB5AY https://t.co/hN0aiVkTlH",original,1,1,1,43,44,10/9/19,1,0,0,0
3322,United Parcel Service,profit,41,60,Transportation,"@WarrenGorowitz Hello, Warren! Interested in #electricvehicles? Register for this exclusive #webinar on Sept. 5th w/ @GreenBiz – we’ll be discussing the @SmartElectricUL project with @UKPowerNetworks @CrossRiverPship. Register here: https://t.co/kLyFUyyFhA https://t.co/GniqEGPG8N",original,1,1,1,1,0,9/3/19,1,0,0,0
19032,Becton Dickinson,profit,195,60,Health Care,TODAY at 2 p.m. at #ACSCC19: Come check out our booth (413);  hear Dr. Sean Orenstein talk about laparoscopic ventral hernia repair at the 2019 @AmCollSurgeons conference #Ventral https://t.co/oNoLwbxz4E,original,1,1,0,4,0,10/28/19,1,0,0,0
40522,Motorola Solutions,profit,416,58,Technology,Pressure levels are elevated at the chemical plant. How are production workers instantly notified to take action? Find out in our chemical &amp; industrial #manufacturing communications guide: https://t.co/ebti4zTR04 https://t.co/gqARxbDFQ3,original,1,1,1,2,7,1/2/19,1,0,0,0
51493,Honeywell International,profit,77,54,Industrials,"A new #quantum record: We have achieved individual qubit operation fidelities of 99.997%, the best ever reported of any addressable qubit technology. More: https://t.co/cxYTarEtPL https://t.co/AG9MNqvKSd",original,1,1,1,27,13,1/10/19,1,0,0,1
16602,Emerson Electric,profit,178,57,Industrials,"Winter is coming, so be sure you're prepared! Check out these 5 steps to make sure your HVAV system can handle the cold weather:  https://t.co/LToBpr57gN https://t.co/NuCcnb8sNP",original,0,1,1,3,1,11/22/19,1,0,0,0
38239,Oshkosh,profit,395,52,Industrials,"In case you missed it, #JerrDan was recently featured on the cover of Tow Professional Magazine - a resource for those in the towing and recovery business. Read the full write up on the 50/60 ton JFB Rotator here: https://t.co/U4aia3H5H1  #OshkoshFamily https://t.co/tzwbPe6v6x",original,1,1,1,1,0,6/21/19,1,0,0,0
49950,Cigna,profit,65,61,Healthcare,That’s a wrap! We want to thank everyone for helping us close out the Fall Cigna @SundayStreetHTX events with a bang. We’re excited to see everyone again in the Spring for more healthy fun activities. See you then! #SSHTX #CignaHouston https://t.co/Auv3FFOlkw,original,1,1,0,5,2,11/6/19,1,0,1,0
40523,Citizens Financial Group,profit,415,48,Financials,"Any task, no matter how daunting — this holiday season and beyond — is made easier with the right playlist. 🎶  Listen to our #MadeReady playlist featuring @theroots’ new song “Feel It (You Got It)” on @Spotify and let us know what songs pump you up!",original,1,0,0,123,20,12/23/19,1,0,0,0
13742,CenturyLink,profit,132,52,Telecommunications,People can be resistant to change but here's how to overcome the hurdles to become a #DigitalBusiness: https://t.co/1cZAXZEUJF - study from @451Research https://t.co/QtrmRTgYli,original,1,1,1,3,0,6/29/19,1,0,0,0
2011,Valero Energy,profit,24,47,Energy,It takes more than an apple a day. You wouldn’t believe all the ways our nation’s health is fueled by petroleum. https://t.co/o1sUCx2kr3 https://t.co/x6kO5hPim2,original,0,1,1,0,0,11/1/19,1,0,0,0
8486,AbbVie,profit,96,61,Healthcare,That feeling when you've just won the top prize at our 3rd annual #Hackathon at the AbbVie Innovation Center at @UIResearchPark. Congrats to the winners - The AbbVie 5 - for their medical #IoT technology solution. https://t.co/2KJsFDoOaX,original,1,1,0,20,2,7/1/19,1,0,1,1
34645,Interpublic Group,profit,322,53,Business Services,ChaseDesign wins @ProcterGamble Partner of the Year Award for their outstanding contributions to the global P&amp;G supply network transformation. https://t.co/PL2Mijj72t,original,0,0,1,2,0,2/12/19,1,0,1,1
14146,Jabil,profit,140,54,Technology,"Enhanced mobile broadband is one of three drivers of #5G, and with it, you will never have to watch a loading screen slowly inch toward 100 percent again. Learn more: https://t.co/2kO12LaVTG https://t.co/NbdNLlc8dw",original,1,1,1,3,2,3/29/19,1,0,0,0
22944,Parker-Hannifin,profit,218,53,Industrials,Metal fabrication customers are cutting the manual monitoring leash with an #IoT enabled #ConditionMonitoring solution for their plant. See how that slashes labor costs: https://t.co/W4zNW0k2EM,original,1,0,1,3,2,12/4/19,1,0,0,0
12869,International Paper,profit,133,57,Materials,"We generate 75% of the energy used in our mills from carbon-neutral biomass residuals, which means fewer fossil fuels. ✅   Proud to pave the way for more renewable energy use. Learn more about our dedication to #sustainable practices: https://t.co/Q3lIe9XdIj https://t.co/tU5wHQNx3n",original,1,1,1,6,3,12/12/19,1,1,1,1
